# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	143308
#@/user_id	77f2e777-e85d-43ee-9e5e-1824289d1c44
a 	啊	c=1085 d=2.74026 t=141424
a 	阿	c=50 d=1.00563 t=141211
a bu cuo 	啊不錯	c=1 d=1 t=108054
a de 	阿德	c=1 d=1 t=1044
a diao 	阿刁	c=1 d=1 t=129042
a du 	阿杜	c=2 d=1 t=142407
a er bei si shan 	阿爾卑斯山	c=1 d=1 t=125590
a er fa 	阿爾法	c=2 d=1 t=56375
a fa 	阿伐	c=1 d=1 t=120387
a fan da 	阿凡達	c=5 d=1 t=103598
a fu han 	阿富汗	c=1 d=1 t=2374
a gen ting 	阿根廷	c=3 d=1 t=128329
a ha ha 	啊哈哈	c=1 d=1 t=21879
a jia sha 	啊加沙	c=1 d=1 t=123355
a la 	阿拉	c=1 d=0.1 t=114207
a la ba ma 	阿拉巴馬	c=1 d=1 t=106891
a la bo 	阿拉伯	c=3 d=1.94176 t=127348
a la lei 	阿拉蕾	c=2 d=1.99501 t=114209
a la si jia 	阿拉斯加	c=3 d=1 t=115855
a li 	阿里	c=7 d=2.82823 t=113024
a mi ba 	阿米巴	c=1 d=1 t=121624
a nu na qi 	阿努納奇	c=1 d=1 t=76683
a sang 	阿桑	c=1 d=1 t=86156
a si pi lin 	阿司匹林	c=2 d=1 t=96656
a tun 	阿吞	c=1 d=1 t=3120
a xiang 	阿鄉	c=1 d=1 t=18007
a yi 	阿姨	c=10 d=1 t=85928
a zhuo 	啊卓	c=1 d=1 t=134570
a zi fu ding 	阿茲夫定	c=1 d=1 t=86099
ai 	哀	c=0 d=0.1 t=139665
ai 	哎	c=1 d=1 t=129518
ai 	唉	c=19 d=1 t=138076
ai 	埃	c=1 d=1 t=12074
ai 	愛	c=17 d=1 t=143184
ai 	捱	c=8 d=1 t=137133
ai 	癌	c=3 d=2.88851 t=140671
ai 	艾	c=3 d=1 t=135442
ai chi 	愛吃	c=5 d=1.98511 t=121330
ai ci 	挨次	c=0 d=0.1 t=4387
ai da 	捱打	c=5 d=1 t=102661
ai dang 	愛黨	c=2 d=1 t=95689
ai de 	愛的	c=0 d=0.1 t=75749
ai de sa la 	愛的薩拉	c=1 d=1 t=75750
ai ding bao 	愛丁堡	c=1 d=1 t=30047
ai dun 	捱頓	c=1 d=1 t=67566
ai er lan 	愛爾蘭	c=1 d=1 t=138670
ai fan ni 	艾范尼	c=4 d=3.65072 t=5770
ai fu 	埃服	c=1 d=1 t=59730
ai gan sha 	愛幹啥	c=2 d=0.1 t=68476
ai gan sha jiu 	愛幹啥就	c=1 d=1 t=68477
ai ge 	哀歌	c=1 d=1 t=86680
ai ge 	挨個	c=7 d=1.00013 t=139533
ai guo 	愛國	c=15 d=0.100696 t=135541
ai guo 	愛過	c=1 d=1 t=43259
ai guo 	捱過	c=0 d=0.1 t=128117
ai guo da 	捱過打	c=1 d=1 t=128118
ai guo ren tou 	愛國人頭	c=1 d=1 t=135542
ai guo zhe 	愛國者	c=1 d=1 t=20475
ai guo zhi qing 	愛國之情	c=1 d=1 t=64692
ai guo zhu yi 	愛國主義	c=1 d=1 t=110213
ai hao 	愛好	c=1 d=1 t=14849
ai hao zhe 	愛好者	c=1 d=1 t=54777
ai ji 	埃及	c=1 d=1 t=110351
ai jia ai hu 	挨家挨戶	c=1 d=1 t=118012
ai jiang 	艾醬	c=1 d=1 t=13124
ai jiu yi ge zi 	愛就一個字	c=1 d=1 t=134692
ai kan 	愛看	c=0 d=0.1 t=108357
ai kan de 	愛看的	c=1 d=1 t=108358
ai ling 	愛凌	c=14 d=1 t=125747
ai ma 	捱罵	c=1 d=1 t=55340
ai min ru zi 	愛民如子	c=1 d=1 t=16019
ai min sheng zhi duo jian 	哀民生之多艱	c=1 d=1 t=139666
ai ni 	愛你	c=10 d=1.15151 t=58724
ai pin 	愛拼	c=2 d=1 t=117975
ai qing 	愛情	c=1 d=0.1 t=143299
ai qing gong yu 	愛情公寓	c=3 d=2.96531 t=143304
ai ren 	愛人	c=1 d=1 t=83356
ai shang 	哀傷	c=1 d=1 t=10291
ai shi 	礙事	c=1 d=1 t=31316
ai si 	愛死	c=1 d=1 t=371
ai si te lei 	艾斯特蕾	c=1 d=1 t=534
ai ting 	愛聽	c=1 d=1 t=53640
ai wei wei 	艾微微	c=2 d=1.8781 t=82202
ai wo 	愛我	c=1 d=0.1 t=127254
ai wo zhong hua 	愛我中華	c=2 d=1.99501 t=127256
ai xin 	愛信	c=1 d=1 t=79689
ai ya 	哎呀	c=8 d=1 t=83613
ai ya ma ya 	哎呀媽呀	c=2 d=1 t=139691
ai yin huo en 	愛引火恩	c=1 d=1 t=135441
ai yin si tan 	愛因斯坦	c=3 d=1.99007 t=108115
ai yo 	哎唷	c=1 d=1 t=38067
ai you 	哎呦	c=2 d=1 t=53057
ai yu 	愛玉	c=3 d=1.60931 t=143198
ai yue 	哀樂	c=0 d=0.1 t=107545
ai yue qi 	哀樂起	c=1 d=1 t=107546
ai zhe 	愛着	c=1 d=1 t=116327
ai zhe 	挨着	c=2 d=1 t=104653
ai zhe 	礙着	c=1 d=1 t=71453
ai zhe ni 	愛着你	c=1 d=1 t=119569
ai zheng 	癌症	c=0 d=0.1 t=55306
ai zheng cun 	癌症村	c=1 d=1 t=55307
ai zheng wan qi 	癌症晚期	c=1 d=1 t=2213
ai zi 	矮子	c=2 d=1.90032 t=82086
ai zi bing 	艾滋病	c=3 d=2.10947 t=43514
ai zi bing cun 	艾滋病村	c=1 d=1 t=43457
ai zou 	捱揍	c=1 d=1 t=115581
an 	俺	c=1 d=1 t=7622
an 	安	c=9 d=1 t=111897
an 	岸	c=2 d=1 t=119175
an 	按	c=50 d=1.00003 t=142238
an 	暗	c=2 d=1 t=58950
an 	案	c=18 d=1.89549 t=129404
an 	胺	c=1 d=1 t=123302
an 	菴	c=1 d=1 t=105379
an 	銨	c=1 d=1 t=123342
